Date Event Generated,Instrument Type,Installed Product ID,System Name,Event Description,Component,Error ID,Source of Event,Location,Status,Exp Date,Closed Reason
fri aug 26 2022 15:29:02 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
fri aug 26 2022 15:27:48 gmt+0000,akta avant 150,28976337-1527825,chrm-117002,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
fri aug 26 2022 13:18:53 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
thu aug 25 2022 19:11:49 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed aug 24 2022 21:28:22 gmt+0000,akta avant 150,28976337-2663574,19-5071,"(10728) client watchdog failed to recieve a response from client within specifid limit, disconnect client",nan,nan,vid com log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
wed aug 24 2022 20:13:48 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed aug 24 2022 19:43:00 gmt+0000,akta avant 25,28930842-1521342,avant,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue aug 23 2022 16:18:17 gmt+0000,akta pure 150 l,29046665-2599742,04_pure150_2599742,no instrument data received for over 1 hour during a run,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,customer resolved on own
tue aug 23 2022 15:16:28 gmt+0000,akta avant 150,28976337-2663574,19-5071,no instrument data received for over 1 hour during a run,nan,nan,connectivity,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
mon aug 22 2022 23:10:40 gmt+0000,akta pure 150l,29046665-1803232,pure,edge gateway offline for over 1 hour,nan,nan,connectivity,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,service case created
mon aug 22 2022 23:10:40 gmt+0000,akta avant 25,28930842-1521342,avant,edge gateway offline for over 1 hour,nan,nan,connectivity,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,service case created
mon aug 22 2022 23:10:27 gmt+0000,akta avant 25,28930842-2881938,avant 25,edge gateway offline for over 1 hour,nan,nan,connectivity,"bryan, united states of america",closed,2025-03-03t00:00:00.000z,service case created
mon aug 22 2022 23:10:26 gmt+0000,akta avant 25,28930842-2584237,avant2,edge gateway offline for over 1 hour,nan,nan,connectivity,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,service case created
mon aug 22 2022 23:10:20 gmt+0000,akta avant 150,28976337-2825681,avant 6,edge gateway offline for over 1 hour,nan,nan,connectivity,"bryan, united states of america",closed,2024-12-15t00:00:00.000z,service case created
mon aug 22 2022 23:10:19 gmt+0000,akta avant 25,28930842-2626667,avant 3,edge gateway offline for over 1 hour,nan,nan,connectivity,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,service case created
mon aug 22 2022 23:10:18 gmt+0000,akta avant 25,28930842-2628404,avant 4,edge gateway offline for over 1 hour,nan,nan,connectivity,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,service case created
mon aug 22 2022 23:10:18 gmt+0000,akta avant 25,28930842-2814045,avant 5,edge gateway offline for over 1 hour,nan,nan,connectivity,"bryan, united states of america",closed,2024-12-13t00:00:00.000z,service case created
mon aug 22 2022 17:00:37 gmt+0000,akta avant 25,28930842-1872411,chrm-135127,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 22 2022 16:47:56 gmt+0000,akta pilot 600s,29274325-2441344,chrm-160334,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 22 2022 16:28:57 gmt+0000,akta avant 150,28976337-2295359,chrm-158667,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 22 2022 16:28:56 gmt+0000,akta avant 25,28930842-2024011,chrm-135461,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 22 2022 15:54:56 gmt+0000,akta avant 25,28930842-1823151,chrm-135120,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 15:46:44 gmt+0000,akta avant 25,28930842-2606268,06_avant25_2606268,no instrument data received for over 1 hour during a run,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,customer resolved on own
mon aug 22 2022 15:13:44 gmt+0000,akta pure 150 m,29046694-1910657,chrm-300998,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 22 2022 14:44:17 gmt+0000,akta avant 25,28930842-1821531,chrm-135119,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 22 2022 14:06:03 gmt+0000,akta avant 150,28976337-1721763,chrm-135117,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 22 2022 13:19:07 gmt+0000,akta avant 150,28976337-2431496,chrm-160336,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 13:08:18 gmt+0000,akta avant 25,28930842-1499250,chrm-107842,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
mon aug 22 2022 13:08:17 gmt+0000,akta avant 150,28976337-2025815,chrm-135470,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 13:08:05 gmt+0000,akta avant 150,28976337-1539069,chrm-117003,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 07:03:58 gmt+0000,akta avant 25,28930842-1499877,chrm-108999,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 07:03:57 gmt+0000,akta avant 25,28930842-2023451,chrm-135460,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 07:03:37 gmt+0000,akta pilot 600s,29274325-2442160,chrm-160335,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 06:33:18 gmt+0000,akta avant 150,28976337-1578267,chrm-105819,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 06:27:34 gmt+0000,akta pure 25 m,29018226-1911391,chrm-300996,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 22 2022 06:26:18 gmt+0000,akta avant 25,28930842-1976993,chrm-135256,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
sun aug 21 2022 20:04:08 gmt+0000,akta pure 25 l,29018224-2606300,03_pure25_2606300,no instrument data received for over 72 hours,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 21 2022 19:52:18 gmt+0000,akta avant 25,28930842-2763911,09_avant25_2763911,no instrument data received for over 72 hours,nan,nan,connectivity,"austin, united states of america",closed,2023-07-28t00:00:00.000z,customer resolved on own
fri aug 19 2022 21:24:35 gmt+0000,akta avant 25,28930842-2606268,06_avant25_2606268,no instrument data received for over 1 hour during a run,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,customer resolved on own
fri aug 19 2022 14:12:53 gmt+0000,akta avant 150,28976337-1828492,19-5058,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
fri aug 19 2022 01:04:11 gmt+0000,akta avant 150,28976337-1828492,19-5058,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
thu aug 18 2022 22:14:07 gmt+0000,akta pure 150 l,29046665-2599742,04_pure150_2599742,no instrument data received for over 1 hour during a run,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
thu aug 18 2022 14:56:10 gmt+0000,akta avant 150,28976337-2721728,19-7005,voltage from sensor is out of range. could be due to a damaged sensor.,eis.pressure_3,21.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,service case created
wed aug 17 2022 20:33:23 gmt+0000,akta avant 150,28976337-2720145,nan,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
wed aug 17 2022 18:44:52 gmt+0000,akta avant 25,28930842-2628404,avant 4,drop sync sensor failed to detect a drop.,eis.frac_15,73.0,vid service log,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,no action required
wed aug 17 2022 18:14:43 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed aug 17 2022 15:36:00 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed aug 17 2022 15:35:53 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed aug 17 2022 15:35:47 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
wed aug 17 2022 02:03:30 gmt+0000,akta pure 25 l1,29018225-2509860,03_pure25_2509860,"(5796) client watchdog failed to recieve a response from client within specifid limit, disconnect client",nan,nan,vid service log,"austin, united states of america",closed,2023-05-29t00:00:00.000z,no action required
wed aug 17 2022 02:03:27 gmt+0000,akta pure 25 l1,29018225-2509860,03_pure25_2509860,control channel timeout. no control command received in 2s.,eis.icu_1,51.0,vid service log,"austin, united states of america",closed,2023-05-29t00:00:00.000z,duplicate event
tue aug 16 2022 21:52:25 gmt+0000,akta avant 25,28930842-1521342,avant,hatch drawer has been in a not valid position for a longer duration. open or close the hatch again. contact service if this doesn’t solve the problem.,eis.frac_16,27.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue aug 16 2022 20:04:15 gmt+0000,akta avant 25,28930842-2626667,avant 3,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,no action required
tue aug 16 2022 20:04:11 gmt+0000,akta avant 25,28930842-2626667,avant 3,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,system audit trail,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,no action required
tue aug 16 2022 18:13:37 gmt+0000,akta avant 25,28930842-1521342,avant,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"bryan, united states of america",closed,2024-02-16t00:00:00.000z,no action required
tue aug 16 2022 05:25:18 gmt+0000,akta avant 150,28976337-1828492,19-5058,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
tue aug 16 2022 00:28:38 gmt+0000,akta avant 150,28976337-1527825,chrm-117002,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
mon aug 15 2022 17:45:48 gmt+0000,akta pure 150 l,29046665-2214582,akta pure 04,accumulator mode is now running without drop hold.,eis.frac_15,70.0,vid service log,"cambridge, united kingdom",closed,2023-04-30t00:00:00.000z,no action required
sun aug 14 2022 12:36:30 gmt+0000,akta avant 25,28930842-2840649,06_avant25_2840649,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,nan,no action required
sun aug 14 2022 12:36:29 gmt+0000,akta pure 150 l,29046665-2599742,04_pure150_2599742,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 14 2022 12:36:29 gmt+0000,akta pure 25 l1,29018225-2509860,03_pure25_2509860,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,no action required
sun aug 14 2022 12:36:28 gmt+0000,akta avant 25,28930842-2763911,09_avant25_2763911,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-07-28t00:00:00.000z,no action required
sun aug 14 2022 12:36:28 gmt+0000,akta avant 25,28930842-2609121,05_avant25_2609121,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 14 2022 12:36:28 gmt+0000,akta pure 25 m,29018226-2600047,07_pure25_2600047,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 14 2022 12:36:27 gmt+0000,akta pure 25 l1,29018225-2285841,02_pure25_2285841,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,no action required
sun aug 14 2022 12:35:25 gmt+0000,akta pure 25 l1,29018225-1687455,01_pure25_1687455,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,no action required
sun aug 14 2022 12:35:24 gmt+0000,akta avant 25,28930842-2795018,05_avant25_2795018,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-09-23t00:00:00.000z,no action required
sun aug 14 2022 12:35:08 gmt+0000,akta avant 25,28930842-2840649,06_avant25_2840649,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,nan,no action required
sun aug 14 2022 12:35:07 gmt+0000,akta pure 25 l1,29018225-2214579,02_pure25_2214579,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,no action required
sun aug 14 2022 12:35:07 gmt+0000,akta pure 150 l,29046665-2599742,04_pure150_2599742,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 14 2022 12:35:07 gmt+0000,akta pure 25 l1,29018225-2509860,03_pure25_2509860,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,no action required
sun aug 14 2022 12:35:07 gmt+0000,akta avant 25,28930842-2606268,06_avant25_2606268,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 14 2022 12:35:06 gmt+0000,akta avant 150,28976337-2453900,08_avant150_2453900,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-10t00:00:00.000z,no action required
sun aug 14 2022 12:35:06 gmt+0000,akta avant 25,28930842-2763911,09_avant25_2763911,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-07-28t00:00:00.000z,no action required
sun aug 14 2022 12:35:06 gmt+0000,akta avant 25,28930842-2609121,05_avant25_2609121,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 14 2022 12:35:06 gmt+0000,akta pure 25 l,29018224-2606300,03_pure25_2606300,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 14 2022 12:35:05 gmt+0000,akta pure 25 m,29018226-2600047,07_pure25_2600047,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
sun aug 14 2022 12:35:05 gmt+0000,akta pure 25 l1,29018225-2285841,02_pure25_2285841,edge gateway offline for over 1 hour,nan,nan,connectivity,"austin, united states of america",closed,2023-05-29t00:00:00.000z,no action required
sun aug 14 2022 00:08:27 gmt+0000,akta avant 150,28976337-1960131,chrm-135128,no instrument data received for over 72 hours,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,customer resolved on own
fri aug 12 2022 20:47:57 gmt+0000,akta avant 25,28930842-1837474,19-5059,fraction collector is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,21.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
fri aug 12 2022 01:54:35 gmt+0000,akta avant 150,28976337-1828492,19-5058,high absorption. no light through cell. check solution absorption and that the cell is fitted correctly.,eis.uv_7,36.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
thu aug 11 2022 23:28:57 gmt+0000,akta avant 25,28930842-1823152,akta1,fraction collector is blocked or internal fault in the fraction collector. power off the instrument and check for obstruction inside the fraction collector. power on the instrument and try again.,eis.frac_15,21.0,vid service log,"buffalo, united states of america",closed,2026-12-22t00:00:00.000z,customer resolved on own
thu aug 11 2022 18:16:44 gmt+0000,akta avant 25,28930842-2795018,05_avant25_2795018,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"austin, united states of america",closed,2023-09-23t00:00:00.000z,no action required
thu aug 11 2022 13:59:55 gmt+0000,akta avant 150,28976337-1828492,19-5058,client: no connection could be made. target machine refused it,nan,nan,client log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,duplicate event
thu aug 11 2022 13:56:34 gmt+0000,akta avant 150,28976337-2720145,nan,client: no connection could be made. target machine refused it,nan,nan,client log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,duplicate event
thu aug 11 2022 13:22:53 gmt+0000,akta avant 150,28976337-1828492,19-5058,client: no connection could be made. target machine refused it,nan,nan,client log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,customer resolved on own
thu aug 11 2022 13:18:15 gmt+0000,akta avant 150,28976337-1828492,19-5058,instrument server: run could not be started,nan,nan,instr. server call log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,customer resolved on own
thu aug 11 2022 05:45:38 gmt+0000,akta avant 150,28976337-1527825,chrm-117002,no instrument data received for over 1 hour during a run,nan,nan,connectivity,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
wed aug 10 2022 22:27:57 gmt+0000,akta avant 25,28930842-2609121,05_avant25_2609121,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"austin, united states of america",closed,2023-06-17t00:00:00.000z,no action required
wed aug 10 2022 19:13:59 gmt+0000,akta avant 150,28976337-1578257,chrm-105818,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,system audit trail,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
wed aug 10 2022 19:13:55 gmt+0000,akta avant 150,28976337-1578257,chrm-105818,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,vid service log,"lexington, united states of america",closed,2023-03-31t00:00:00.000z,no action required
wed aug 10 2022 18:19:03 gmt+0000,akta avant 25,28930842-2628404,avant 4,freaq is blocked due to open hatch signals.,eis.frac_15,54.0,nan,"bryan, united states of america",closed,2024-07-19t00:00:00.000z,no action required
wed aug 10 2022 14:25:05 gmt+0000,akta avant 25,28930842-2720136,19-7003,pump head is blocked or there is an error in the pump.,eis.pump_2,51.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,customer resolved on own
tue aug 09 2022 19:45:26 gmt+0000,akta avant 25,28930842-1837474,19-5059,error during fraction collector sync of the y-axis.,eis.frac_15,31.0,vid service log,"gaithersburg, united states of america",closed,2024-06-30t00:00:00.000z,no action required
